subject,usable,age,age_group,gender,version,block_num,condition,trial_num,trial_in_block,mine_prob_win_left,mine_prob_win_right,subj_choice,feedback,latent_guess,optimal_choice,choice_RT
77,1,23.6,Adult,1,C,1,3,25,25,0.2,0.8,0,0,0,1,0.318735123
77,1,23.6,Adult,1,C,1,3,26,26,0.2,0.8,0,1,0,1,0.285204172
77,1,23.6,Adult,1,C,1,3,27,27,0.2,0.8,0,1,0,1,0.318504095
77,1,23.6,Adult,1,C,1,3,28,28,0.2,0.8,1,1,1,0,0.368499994
77,1,23.6,Adult,1,C,1,3,29,29,0.2,0.8,0,0,1,1,0.45165801
77,1,23.6,Adult,1,C,1,3,30,30,0.2,0.8,0,0,0,1,0.351797819
77,1,23.6,Adult,1,C,1,3,31,31,0.2,0.8,1,0,0,0,0.451780081
77,1,23.6,Adult,1,C,1,3,32,32,0.2,0.8,0,1,0,1,0.301697016
77,1,23.6,Adult,1,C,1,3,33,33,0.2,0.8,0,1,0,1,0.268872976
77,1,23.6,Adult,1,C,1,3,34,34,0.2,0.8,1,0,0,0,0.518481016
77,1,23.6,Adult,1,C,1,3,35,35,0.2,0.8,0,1,1,1,0.335292101
77,1,23.6,Adult,1,C,1,3,36,36,0.2,0.8,0,0,0,1,0.385245085
77,1,23.6,Adult,1,C,1,3,37,37,0.2,0.8,0,1,0,1,0.401778936
77,1,23.6,Adult,1,C,1,3,38,38,0.2,0.8,0,1,0,1,0.55183816
77,1,23.6,Adult,1,C,1,3,39,39,0.2,0.8,1,0,0,0,0.418540001
77,1,23.6,Adult,1,C,1,3,40,40,0.2,0.8,0,0,0,1,0.318690062
77,1,23.6,Adult,1,C,1,3,41,41,0.2,0.8,0,0,1,1,0.383491039
77,1,23.6,Adult,1,C,1,3,42,42,0.2,0.8,1,0,0,0,0.351788044
77,1,23.6,Adult,1,C,1,3,43,43,0.2,0.8,0,1,0,1,0.28538394
77,1,23.6,Adult,1,C,1,3,44,44,0.2,0.8,0,1,0,1,0.285226822
77,1,23.6,Adult,1,C,1,3,45,45,0.2,0.8,0,0,1,1,0.335170031
77,1,23.6,Adult,1,C,1,3,46,46,0.2,0.8,0,1,0,1,0.384892225
77,1,23.6,Adult,1,C,1,3,47,47,0.2,0.8,0,1,1,1,0.385368824
77,1,23.6,Adult,1,C,1,3,48,48,0.2,0.8,0,1,0,1,0.334958076
77,1,23.6,Adult,1,C,1,3,49,49,0.2,0.8,0,0,1,1,0.318751097
77,1,23.6,Adult,1,C,1,3,50,50,0.2,0.8,0,0,0,1,0.501804113
77,1,23.6,Adult,1,C,2,1,51,1,0.8,0.2,1,0,0,1,2.034996033
77,1,23.6,Adult,1,C,2,1,52,2,0.8,0.2,0,0,1,0,0.301771164
77,1,23.6,Adult,1,C,2,1,53,3,0.8,0.2,1,1,0,1,0.435199976
77,1,23.6,Adult,1,C,2,1,54,4,0.8,0.2,1,1,0,1,1.968154907
77,1,23.6,Adult,1,C,2,1,55,5,0.8,0.2,1,1,0,1,0.385292053
77,1,23.6,Adult,1,C,2,1,56,6,0.8,0.2,1,0,1,1,0.335309029
77,1,23.6,Adult,1,C,2,1,57,7,0.8,0.2,1,1,0,1,0.301968098
77,1,23.6,Adult,1,C,2,1,58,8,0.8,0.2,1,0,1,1,0.335175037
77,1,23.6,Adult,1,C,2,1,59,9,0.8,0.2,1,1,0,1,0.30214715
77,1,23.6,Adult,1,C,2,1,60,10,0.8,0.2,1,1,0,1,0.285082102
77,1,23.6,Adult,1,C,2,1,61,11,0.8,0.2,1,0,1,1,0.318653822
77,1,23.6,Adult,1,C,2,1,62,12,0.8,0.2,1,1,0,1,0.351840019
77,1,23.6,Adult,1,C,2,1,63,13,0.8,0.2,1,1,0,1,0.285272837
77,1,23.6,Adult,1,C,2,1,64,14,0.8,0.2,1,1,0,1,0.266964197
77,1,23.6,Adult,1,C,2,1,65,15,0.8,0.2,1,1,0,1,0.385215998
77,1,23.6,Adult,1,C,2,1,66,16,0.8,0.2,0,0,0,0,0.901697159
77,1,23.6,Adult,1,C,2,1,67,17,0.8,0.2,1,0,1,1,0.251909971
77,1,23.6,Adult,1,C,2,1,68,18,0.8,0.2,1,1,0,1,0.302067995
77,1,23.6,Adult,1,C,2,1,69,19,0.8,0.2,1,0,1,1,0.301929951
77,1,23.6,Adult,1,C,2,1,70,20,0.8,0.2,0,0,0,0,0.601630926
77,1,23.6,Adult,1,C,2,1,71,21,0.8,0.2,1,0,1,1,0.302026033
77,1,23.6,Adult,1,C,2,1,72,22,0.8,0.2,1,1,0,1,0.285577059
77,1,23.6,Adult,1,C,2,1,73,23,0.8,0.2,1,1,0,1,0.235527992
77,1,23.6,Adult,1,C,2,1,74,24,0.8,0.2,1,1,0,1,0.251790047
77,1,23.6,Adult,1,C,2,1,75,25,0.8,0.2,1,0,1,1,0.28513217
77,1,23.6,Adult,1,C,2,1,76,26,0.8,0.2,1,1,0,1,0.266952991
77,1,23.6,Adult,1,C,2,1,77,27,0.8,0.2,1,1,0,1,0.252108097
77,1,23.6,Adult,1,C,2,1,78,28,0.8,0.2,1,0,1,1,0.568539143
77,1,23.6,Adult,1,C,2,1,79,29,0.8,0.2,1,1,0,1,0.285187006
77,1,23.6,Adult,1,C,2,1,80,30,0.8,0.2,1,0,1,1,0.266830921
77,1,23.6,Adult,1,C,2,1,81,31,0.8,0.2,1,1,0,1,0.251811981
77,1,23.6,Adult,1,C,2,1,82,32,0.8,0.2,1,1,0,1,0.283674955
77,1,23.6,Adult,1,C,2,1,83,33,0.8,0.2,1,1,0,1,0.301857948
77,1,23.6,Adult,1,C,2,1,84,34,0.8,0.2,1,0,1,1,0.401930094
77,1,23.6,Adult,1,C,2,1,85,35,0.8,0.2,1,0,0,1,0.252067089
77,1,23.6,Adult,1,C,2,1,86,36,0.8,0.2,1,1,0,1,0.268544912
77,1,23.6,Adult,1,C,2,1,87,37,0.8,0.2,1,0,0,1,0.21873188
77,1,23.6,Adult,1,C,2,1,88,38,0.8,0.2,1,1,0,1,0.251744986
77,1,23.6,Adult,1,C,2,1,89,39,0.8,0.2,1,0,1,1,0.451938152
77,1,23.6,Adult,1,C,2,1,90,40,0.8,0.2,1,0,0,1,0.285299778
77,1,23.6,Adult,1,C,2,1,91,41,0.8,0.2,0,0,0,0,0.401976824
77,1,23.6,Adult,1,C,2,1,92,42,0.8,0.2,1,0,1,1,0.302057028
77,1,23.6,Adult,1,C,2,1,93,43,0.8,0.2,1,0,0,1,0.266947985
77,1,23.6,Adult,1,C,2,1,94,44,0.8,0.2,0,0,0,0,0.251868963
77,1,23.6,Adult,1,C,2,1,95,45,0.8,0.2,1,1,0,1,0.285076857
77,1,23.6,Adult,1,C,2,1,96,46,0.8,0.2,1,0,1,1,0.385229826
77,1,23.6,Adult,1,C,2,1,97,47,0.8,0.2,1,0,0,1,0.385200977
77,1,23.6,Adult,1,C,2,1,98,48,0.8,0.2,0,0,0,0,0.268651009
77,1,23.6,Adult,1,C,2,1,99,49,0.8,0.2,1,1,0,1,0.368740082
77,1,23.6,Adult,1,C,2,1,100,50,0.8,0.2,1,0,1,1,0.268532991
77,1,23.6,Adult,1,C,3,2,101,1,0.8,0.2,0,0,0,0,1.551435947
77,1,23.6,Adult,1,C,3,2,102,2,0.8,0.2,1,1,0,1,0.251991034
77,1,23.6,Adult,1,C,3,2,103,3,0.8,0.2,1,1,0,1,0.268697023
77,1,23.6,Adult,1,C,3,2,104,4,0.8,0.2,1,1,1,1,0.268648148
77,1,23.6,Adult,1,C,3,2,105,5,0.8,0.2,1,1,0,1,0.452067137
77,1,23.6,Adult,1,C,3,2,106,6,0.8,0.2,1,0,0,1,0.335366964
77,1,23.6,Adult,1,C,3,2,107,7,0.8,0.2,1,1,0,1,0.268498898
77,1,23.6,Adult,1,C,3,2,108,8,0.8,0.2,1,1,0,1,0.235184908
77,1,23.6,Adult,1,C,3,2,109,9,0.8,0.2,1,1,0,1,0.267062902
77,1,23.6,Adult,1,C,3,2,110,10,0.8,0.2,0,1,1,0,0.28513813
77,1,23.6,Adult,1,C,3,2,111,11,0.8,0.2,1,1,1,1,0.30199194
77,1,23.6,Adult,1,C,3,2,112,12,0.8,0.2,0,1,0,0,0.385426044
77,1,23.6,Adult,1,C,3,2,113,13,0.8,0.2,0,0,0,0,0.302020073
77,1,23.6,Adult,1,C,3,2,114,14,0.8,0.2,1,1,0,1,0.252040148
77,1,23.6,Adult,1,C,3,2,115,15,0.8,0.2,1,1,0,1,0.285115957
77,1,23.6,Adult,1,C,3,2,116,16,0.8,0.2,1,1,1,1,0.251852989
77,1,23.6,Adult,1,C,3,2,117,17,0.8,0.2,0,0,0,0,0.35206008
77,1,23.6,Adult,1,C,3,2,118,18,0.8,0.2,1,1,0,1,0.251734972
77,1,23.6,Adult,1,C,3,2,119,19,0.8,0.2,1,1,1,1,0.252093077
77,1,23.6,Adult,1,C,3,2,120,20,0.8,0.2,1,1,0,1,0.285119057
77,1,23.6,Adult,1,C,3,2,121,21,0.8,0.2,1,1,0,1,0.468412161
77,1,23.6,Adult,1,C,3,2,122,22,0.8,0.2,1,1,0,1,0.218438864
77,1,23.6,Adult,1,C,3,2,123,23,0.8,0.2,1,0,0,1,0.251905918
77,1,23.6,Adult,1,C,3,2,124,24,0.8,0.2,1,1,1,1,0.268540859
77,1,23.6,Adult,1,C,3,2,125,25,0.8,0.2,1,1,0,1,0.268400908
77,1,23.6,Adult,1,C,3,2,126,26,0.8,0.2,1,1,0,1,0.252023935
77,1,23.6,Adult,1,C,3,2,127,27,0.8,0.2,1,1,0,1,0.235291958
77,1,23.6,Adult,1,C,3,2,128,28,0.8,0.2,1,1,0,1,0.268486977
77,1,23.6,Adult,1,C,3,2,129,29,0.8,0.2,1,1,1,1,0.30195117
77,1,23.6,Adult,1,C,3,2,130,30,0.8,0.2,1,1,0,1,0.251909971
77,1,23.6,Adult,1,C,3,2,131,31,0.8,0.2,1,0,0,1,0.601680994
77,1,23.6,Adult,1,C,3,2,132,32,0.8,0.2,1,1,0,1,0.268697023
77,1,23.6,Adult,1,C,3,2,133,33,0.8,0.2,1,1,0,1,0.218593836
77,1,23.6,Adult,1,C,3,2,134,34,0.8,0.2,1,1,1,1,1.601520061
77,1,23.6,Adult,1,C,3,2,135,35,0.8,0.2,1,1,0,1,0.485404968
77,1,23.6,Adult,1,C,3,2,136,36,0.8,0.2,1,1,0,1,0.251976967
77,1,23.6,Adult,1,C,3,2,137,37,0.8,0.2,1,1,0,1,0.451782942
77,1,23.6,Adult,1,C,3,2,138,38,0.8,0.2,1,1,1,1,0.268552065
77,1,23.6,Adult,1,C,3,2,139,39,0.8,0.2,1,1,0,1,0.285246849
77,1,23.6,Adult,1,C,3,2,140,40,0.8,0.2,1,1,0,1,0.301846981
